vrsta_podatka,sezona,kje,klub,kratica,st_tekem,podatek,povprecje,na_40_min
podaje,2005,doma,AEK Athens,AEK,7,83,7.0,2.37
podaje,2006,doma,CSKA Moscow,CSK,13,222,13.0,3.42
podaje,2006,doma,Tau Ceramica,BAS,12,199,12.0,3.32
podaje,2006,doma,Winterthur FC Barcelona,BAR,11,192,11.0,3.45
podaje,2006,doma,Unicaja,MAL,12,183,12.0,3.05
podaje,2006,doma,Maccabi Elite,TEL,11,180,11.0,3.24
podaje,2006,doma,Panathinaikos,PAN,13,179,13.0,2.75
podaje,2006,doma,Pau-Orthez,PAU,10,166,10.0,3.28
podaje,2006,doma,Olympiacos,OLY,11,161,11.0,2.93
podaje,2006,doma,Partizan,PAR,10,151,10.0,2.91
podaje,2006,doma,Benetton Basket,TRE,10,146,10.0,2.92
podaje,2006,doma,Prokom Trefl Sopot,SOP,10,141,10.0,2.82
podaje,2006,doma,Le Mans,LEM,7,139,7.0,3.97
podaje,2006,doma,Efes Pilsen,IST,10,132,10.0,2.61
podaje,2006,doma,DKV Joventut,JOV,10,125,10.0,2.5
podaje,2006,doma,Aris TT Bank,ARI,10,123,10.0,2.43
podaje,2006,doma,Dynamo Moscow,DYN,11,123,11.0,2.21
podaje,2006,doma,Lottomatica Roma,ROM,10,111,10.0,2.19
podaje,2006,doma,Zalgiris,ZAL,7,105,7.0,2.9
podaje,2006,doma,RheinEnergie,COL,7,100,7.0,2.86
podaje,2006,doma,Cibona,CIB,7,91,7.0,2.51
podaje,2006,doma,Climamio Bologna,FOR,7,88,7.0,2.51
podaje,2006,doma,Fenerbahce Ulker,ULK,7,82,7.0,2.3
podaje,2006,doma,Union Olimpija,LJU,7,81,7.0,2.27
podaje,2006,doma,Eldo Napoli,NAP,7,63,7.0,1.74
podaje,2007,doma,Maccabi Elite,TEL,13,260,13.0,4.0
podaje,2007,doma,Montepaschi Siena,SIE,13,192,13.0,2.93
podaje,2007,doma,CSKA Moscow,CSK,12,175,12.0,2.92
podaje,2007,doma,AXA FC Barcelona,BAR,11,165,11.0,3.0
podaje,2007,doma,Tau Ceramica,BAS,13,163,13.0,2.51
podaje,2007,doma,Real Madrid,MAD,10,163,10.0,3.18
podaje,2007,doma,Olympiacos,OLY,11,154,11.0,2.77
podaje,2007,doma,Partizan Igokea,PAR,11,149,11.0,2.71
podaje,2007,doma,Zalgiris,ZAL,10,147,10.0,2.94
podaje,2007,doma,Unicaja,MAL,10,146,10.0,2.92
podaje,2007,doma,Le Mans,LEM,7,138,7.0,3.87
